X1,X2,X3,X4,X5,X6,X7,X8
3,1,0.556000141,0.087737805,0.962208869,0.479771134,0.683859314,0.280591273
3,1,0.558136091,0.089324201,0.963188863,0.547581212,0.684930418,0.286936922
3,1,0.55698945,0.059967777,0.961078729,0.44084596,0.681665317,0.316032988
3,1,0.552179072,0.179626731,0.95836434,0.421566234,0.680211461,0.298076405
3,1,0.557163363,0.054949361,0.961771489,0.469644052,0.684151616,0.291208435
3,1,0.556519139,0.152637395,0.958602592,0.437584135,0.680572018,0.334794968
3,1,0.552641763,0.133801405,0.956536934,0.421308829,0.678478556,0.301965382
3,1,0.556035898,0.093520418,0.95998791,0.439290236,0.68472631,0.285320449
3,1,0.559420898,0.091786567,0.962371884,0.456632788,0.68475349,0.305813656
3,1,0.554473761,0.156116982,0.958189293,0.447814174,0.680166562,0.29876045
3,1,0.554320398,0.077155157,0.959635351,0.463818565,0.679302893,0.305397521
3,1,0.552760192,0.136340507,0.957690112,0.402491602,0.67917062,0.291911004
3,1,0.553507639,0.133123733,0.957620908,0.399265875,0.680788738,0.324604983
3,1,0.555437452,0.12625368,0.959347328,0.452313122,0.680293115,0.304271876
3,1,0.554855096,0.096731204,0.961790943,0.452279483,0.681610964,0.317108579
3,1,0.554036979,0.121272892,0.960244988,0.458086678,0.681161421,0.283799831
3,1,0.55645936,0.124690294,0.961058158,0.460626365,0.684011429,0.334053307
3,1,0.552876551,0.068128858,0.955926526,0.357450684,0.68069232,0.291026362
3,1,0.552458584,0.078532898,0.957191357,0.358100629,0.678121102,0.274196457
3,1,0.557109214,0.12746906,0.962424586,0.469911547,0.685413602,0.295719474
3,1,0.557356632,0.120129861,0.959865604,0.462166987,0.681259409,0.302057923
3,1,0.55624703,0.127407917,0.959717441,0.434127072,0.679724043,0.298641662
3,1,0.558642541,0.120567754,0.960829316,0.472399061,0.681561261,0.317366386
3,1,0.556652361,0.170703583,0.960734054,0.47166729,0.680056748,0.315999942
3,1,0.553467131,0.119439147,0.959497968,0.403710007,0.67942146,0.296704025
3,1,0.555851777,0.103501227,0.960389176,0.467034068,0.680136063,0.305003321
3,1,0.555196993,0.082363712,0.958386974,0.380148399,0.679494712,0.317168549
3,1,0.556841441,0.073890555,0.959632817,0.438925179,0.681912776,0.326293792
3,1,0.555173789,0.12910422,0.958152505,0.420441112,0.682347414,0.270914871
3,1,0.558681092,0.067376205,0.96239945,0.46475899,0.685675806,0.312258141
3,1,0.553883899,0.135525112,0.958127347,0.387598775,0.680322927,0.311023305
3,1,0.555208073,0.143225312,0.960635016,0.442718129,0.680335735,0.299313972
3,1,0.556007022,0.108527581,0.960028838,0.425395555,0.681375405,0.279602747
3,1,0.555579075,0.169999952,0.958944691,0.4160585,0.680704685,0.256502746
4,1,0.553593753,0.100840439,0.958351805,0.415880233,0.679521301,0.29428114
4,1,0.555577951,0.090517509,0.957262397,0.418711809,0.678434245,0.294553289
4,1,0.556636979,0.118323285,0.959817226,0.503488084,0.679813187,0.357489268
4,1,0.55464165,0.095734585,0.959761776,0.432995723,0.683953162,0.287142863
4,1,0.558728208,0.111159541,0.961763838,0.443657691,0.683371009,0.340101642
4,1,0.556531112,0.109234759,0.959432483,0.433211874,0.684418593,0.278873374
4,1,0.55721197,0.101416487,0.96162268,0.428595615,0.68114294,0.334022972
4,1,0.559890555,0.039484619,0.962746731,0.459987299,0.684805822,0.30115526
4,1,0.557657707,0.099845466,0.956067929,0.398510844,0.682291536,0.326164748
4,1,0.555295305,0.151845546,0.960910381,0.430962676,0.681396644,0.297652928
